Time Stamp,Region,Latitude,Longitude,Number of cases
12-20-2020,Clearwater at South Bay,33.824079,-118.343201,29
12-20-2020,Home Depot - Hyde Park #1039,34.199621,-118.383808,9
12-20-2020,LAPD Newton Community Police Station,34.119495,-118.249796,8
12-20-2020,Vallarta Supermarket #25,34.027840999999995,-118.200172,7
12-20-2020,Mercury Air Cargo Building 216,33.932382000000004,-118.390343,6
12-20-2020,LAPD 77th Street Community Police Station,33.970484,-118.277388,4
12-20-2020,LAPD Headquarters,34.052572,-118.240826,3
12-20-2020,Mercury Air Cargo Building 213,33.932382000000004,-118.390343,2
12-20-2020,"Whole Foods Market, 23rd & Wilshire Blvd",34.033196999999994,-118.481345,1
12-20-2020,LA County DPSS - Metro Special 70,34.026309000000005,-118.272736,1
12-20-2020,American Martyrs Preschool,33.891152000000005,-118.404598,0
12-20-2020,Cannasafe,34.198264,-118.493042,0
12-20-2020,Carmax,34.596529,-118.138085,0
12-20-2020,CEMCO,34.058206,-118.05319,0
12-20-2020,Century 21 All Stars,33.959169,-118.106469,0
12-20-2020,Chabalitas Restaurant,34.265778999999995,-118.422218,0
12-20-2020,"Chevrolet, George",33.879118,-118.141694,0
12-20-2020,"Chevrolet, Felix",34.021777,-118.279008,0
12-20-2020,"Calvin Klein #65, Citadel Outlets",34.006249,-118.152522,0
12-20-2020,Chick-Fil-A Azusa,34.186771,-118.62302,0
12-20-2020,Chick-Fil-A Victory & Fallbrook,34.186771,-118.62302,0
12-20-2020,Chipotle - Baldwin Park,34.187096000000004,-118.417131,0
12-20-2020,Citibank,34.186992,-118.416588,0
12-20-2020,"Campus Residential Dining, UCLA",34.070306,-118.450112,0
12-20-2020,Bobs Hawaiian Restaurant,33.886014,-118.308875,0
12-20-2020,California Bear Credit Union,34.049939,-118.246953,0
12-20-2020,"American Nuts, LLC",34.30624,-118.466643,0
12-20-2020,Woodruff Care Home,33.884988,-118.118021,0
12-20-2020,99 Cents Only Stores Warehouse and Corporate Office,34.016277,-118.1894,0
12-20-2020,"AA Meat, Inc.",34.004892,-118.132383,0
12-20-2020,ABM Industries - Century Park,34.058662,-118.413052,0
12-20-2020,"Amazon Bookstore, Los Cerritos - JFN3",33.861259000000004,-118.093577,0
12-20-2020,Amazon DPS1,34.063244,-118.445679,0
12-20-2020,America's Job Centers of California,34.020428,-118.155813,0
12-20-2020,AutoNation Toyota Cerritos,33.862143,-118.098583,0
12-20-2020,"Bon Appetit, 50th St",33.995889,-118.189846,0
12-20-2020,AVO American Vegetable Oils,33.989917,-118.127975,0
12-20-2020,Barone's,34.179121,-118.432155,0
12-20-2020,Bell Police Department,33.979161,-118.188518,0
12-20-2020,Best Buy West Hollywood,34.089337,-118.344646,0
12-20-2020,Bimbo Bakery - South Gate,33.945797,-118.185023,0
12-20-2020,BMW of Long Beach,33.811972,-118.165832,0
12-20-2020,Climb Adult Day Care,34.161281,-118.072177,0
12-20-2020,Clementine Foods LLC,34.060259,-118.42089,0
12-20-2020,"Consolidated Disposal Services, LLC",33.896818,-118.268474,0
12-20-2020,Command Packing,34.007513,-118.19551,0
12-20-2020,Gardena Police Department,33.883225,-118.307488,0
12-20-2020,"Flores Design Fine Furniture, Inc.",34.001132,-118.22478,0
12-20-2020,Food 4 Less #314,34.559796,-118.086264,0
12-20-2020,Food 4 Less #360,34.559796,-118.086264,0
12-20-2020,Forever 21,34.036424,-118.08378700000002,0
12-20-2020,Forever 21 - Montebello,34.036424,-118.08378700000002,0
12-20-2020,Four Points By Sheraton LAX,33.947886,-118.384999,0
12-20-2020,Frida Mexican Cuisine - Beverly Hills,34.063697999999995,-118.398807,0
